id,income
50001,24262.46
50002,19267.38
50003,28474.18
50004,19296.16
50005,27405.64
50006,27892.86
50007,17189.21
50008,37173.83
50009,25121.98
50010,52452.0
50011,18128.12
50012,17909.56
50013,59100.56
50014,41001.76
50015,46631.4
50016,24155.19
50017,33589.14
50018,40298.12
50019,23900.82
50020,26116.92
50021,19896.9
50022,45008.57
50023,29152.65
50024,31807.56
50025,22047.36
50026,95446.76
50027,30518.4
50028,22643.6
50029,25646.21
50030,23249.19
50031,18416.34
50032,67671.04
50033,22553.45
50034,19835.42
50035,35051.81
50036,26292.6
50037,36718.74
50038,21194.36
50039,24954.09
50040,27317.98
50041,37731.19
50042,22278.31
50043,14128.22
50044,27080.33
50045,21295.08
50046,25472.0
50047,43883.42
50048,23344.3
50049,25211.07
50050,22156.26
50051,24364.78
50052,48626.11
50053,39655.39
50054,54868.83
50055,40145.8
50056,41564.08
50057,26793.67
50058,14925.74
50059,16946.94
50060,33091.2
50061,41347.0
50062,49608.44
50063,28330.38
50064,25535.07
50065,37916.42
50066,23310.0
50067,92884.73
50068,25764.42
50069,21169.64
50070,30313.52
50071,24839.55
50072,19131.58
50073,24970.26
50074,31130.38
50075,27429.46
50076,27960.96
50077,41974.61
50078,50556.79
50079,36234.79
50080,62449.9
50081,29491.2
50082,22030.14
50083,26645.14
50084,25548.4
50085,22234.42
50086,64010.35
50087,21641.59
50088,43303.89
50089,66940.53
50090,19799.25
50091,17161.17
50092,24144.14
50093,23285.96
50094,28894.35
50095,31270.2
50096,29583.14
50097,21811.48
50098,28619.1
50099,11236.76
50100,25346.19
50101,22060.21
50102,55337.42
50103,21963.94
50104,24372.31
50105,27098.73
50106,35113.64
50107,34487.72
50108,58558.65
50109,42947.56
50110,26734.61
50111,48560.86
50112,19408.28
50113,64623.23
50114,25079.66
50115,48116.7
50116,93544.52
50117,21483.48
50118,22067.17
50119,30455.83
50120,37149.44
50121,26044.04
50122,51815.81
50123,54068.93
50124,18407.59
50125,75831.42
50126,37162.45
50127,16285.53
50128,16103.37
50129,24261.0
50130,20980.69
50131,16977.56
50132,22646.15
50133,44031.78
50134,21607.15
50135,27725.06
50136,32716.5
50137,18406.98
50138,23145.15
50139,34969.6
50140,73504.22
50141,28063.86
50142,57724.56
50143,36822.4
50144,27304.05
50145,19620.23
50146,23151.38
50147,52469.26
50148,25086.45
50149,17551.42
50150,47802.94
50151,17434.31
50152,26341.24
50153,34515.06
50154,70941.78
50155,18152.83
50156,38245.88
50157,31384.3
50158,65952.51
50159,31610.06
50160,21552.6
